58.5209200932264° N           8.88152373305729° E
58.5184785088268° N           8.88254200193034° E
58.5178917450661° N           8.8868830513131° E
58.5172532308829° N           8.89038930728741° E
58.5155073531955° N           8.89135181283562° E
58.5145590614049° N           8.8892652423352° E
58.5133939635738° N           8.8871939730908° E
58.5115606518548° N           8.88516544477809° E
58.5099512499893° N           8.88355321861293° E
58.5076431638427° N           8.88068849284144° E
58.5060336985427° N           8.87907665999534° E
58.5040363546099° N           8.87963603885789° E
58.5029239572312° N           8.88013743150349° E
58.5011192853803° N           8.87983466892095° E
58.4993128682136° N           8.87996161359981° E
58.4975305454828° N           8.88093527739418° E
58.4959488685257° N           8.88146100014013° E
58.4950073448875° N           8.87765741190956° E
58.4933376467891° N           8.87304422897281° E
58.4917016661874° N           8.8692624936969° E
58.4914245536127° N           8.86627585445934° E
58.4927263946257° N           8.86360489375753° E
58.495169527437° N            8.86215630911586° E
58.4985282868406° N           8.86194408235551° E
58.5003363851257° N           8.861386521371° E
58.5002524088058° N           8.85751997241858° E
58.4968613512815° N           8.85647184635818° E
58.4939497795628° N           8.85792859524504° E
58.4922299200545° N           8.86108020803462° E
58.4908892999442° N           8.86243798102962° E
58.4901743537511° N           8.86035836416488° E
58.4888089554434° N           8.85872035231555° E
58.4887774431428° N           8.85744280342864° E
58.4884999535931° N           8.85485191028252° E
58.4866725749482° N           8.85327463562835° E
58.4855051983117° N           8.85163573798961° E
58.4843686614672° N           8.84912537011031° E
58.4833953035181° N           8.8461954264579° E
58.4828934920066° N           8.84318949783217° E
58.4827278550195° N           8.84149449146576° E
58.4826149754898° N           8.84022084079117° E
58.4823908781487° N           8.83980535760534° E
58.4816998843097° N           8.83896837132058° E
58.4807572376549° N           8.83733323090964° E
58.4805005806999° N           8.83605293943242° E
58.4800027334408° N           8.83394188686468° E
58.4788382502633° N           8.83144507803408° E
58.4774708803026° N           8.83023814014187° E
58.4754182397703° N           8.82865966687622° E
58.4733915959087° N           8.82749814619285° E
58.4717821661248° N           8.82587332584737° E
58.4699217503102° N           8.82343376102046° E
58.4678312578626° N           8.81971918895006° E
58.4666427197468° N           8.81636070901918° E
58.4661097045619° N           8.81165062092246° E
58.465775355117° N            8.80652685380908° E
58.4654430457078° N           8.80095684293118° E
58.4653600924812° N           8.79623562226763° E
58.4646156105897° N           8.79240175551° E
58.4628052574569° N           8.79083178066254° E
58.4614195958528° N           8.78962404276093° E
58.4606966727029° N           8.78709987275062° E
58.4594771472195° N           8.78202042291501° E
58.45849820626° N             8.77778825302497° E
58.4568034353901° N           8.77146338477192° E
58.4553630206704° N           8.76727631484693° E
58.4532474604689° N           8.7626868570732° E
58.4509141896355° N           8.75813097990134° E
58.4492759554173° N           8.75392998940051° E
58.4473904015804° N           8.7502212387223° E
58.4453068501875° N           8.74690977219226° E
58.4434149475978° N           8.74273724739688° E
58.441557115977° N            8.73860509381315° E
58.440109884351° N            8.73354469171533° E
